Model,MAE,MSE,RMSE,R²
SVR,7.515448728877429,88.97832685568083,9.43283238776566,0.6546959363029181
Random Forest,3.754000690540008,29.87289589373859,5.465610294719025,0.8840702819323779
XGBoost,2.9068277183998026,19.822067808198934,4.4521980872597,0.9230751936238144
